adj,weather,terrain,color,other
calm,clouds,Ocean,pastel colors,high quality
peaceful,rainy,Beach,pale purple,photorealistic
japanese,sky,Meadow,vanilla,anime
lofi,sunset,Garden,pastel blue,CGI
vibes,sunrise,Pond,forest green,landscape
Aesthetic,Breeze,Lake,Soft Gray,japanese-inspired
Nostalgic,Misty,Stream,Light Pink,birds-eye view
Urban,Foggy,Forest,Powder Blue,time-lapse photo
Cozy,Dusk,Mountain,Lavender,
Serene,Dawn,River,Seafoam Green,
Relaxing,Twilight,Moon,Warm Beige,
Vintage,Overcast,Waterfall,Light Yellow,
Chill,Drizzle,Marsh,Mint Green,
Dreamy,Breezy,Woodland,Muted Coral,
Animated,Secluded,Park,Pale Peach,
Minimalist,Warm,Tundra,Sky Blue,
Zen,,Glade,Sage Green,
Introspective,,Marina,Cream,
Downtempo,,in the clouds,Dusty Rose,
Melancholic,,city,Tranquil Blue,
Soothing,,,Whisper White,
Tranquil,,,Willow Green,
Ambient,,,Heather,
Mellow,,,Teal,
Atmospheric,,,Soft Turquoise,
Subdued,,,,
Contemplative,,,,
Quaint,,,,
Rustic,,,,
Gentle,,,,
Hushed,,,,
Wistful,,,,
Timeless,,,,
Whimsical,,,,
Harmonious,,,,
Soft,,,,
Pensive,,,,
Comforting,,,,
Idyllic,,,,
Reclusive,,,,
Tranquility,,,,
Serenity,,,,
